0,2019-10-23,24941,14.1,15
0,2019-10-23,25445,34.3,18
0,2019-10-23,26806,10.4,14
0,2019-10-23,29592,1.7,
0,2019-10-23,3102021,3.8,
0,2019-10-23,31044,9.7,15
0,2019-10-23,32059,1.7,6
0,2019-10-24,1174,11.7,14
0,2019-10-24,16541,1.7,
0,2019-10-24,18001,5,9
0,2019-10-24,24941,27.5,15
0,2019-10-24,25445,12.75,15
0,2019-10-24,26806,7.4,2
0,2019-10-24,31044,13.3,6
0,2019-10-24,32059,3.6,6
0,2019-10-25,1174,23.05,12
0,2019-10-25,18001,3.6,12
0,2019-10-25,24941,27.8,12
0,2019-10-25,25445,19,6
0,2019-10-25,29555,3.5,
0,2019-10-25,3102021,4.4,
0,2019-10-25,31044,7,12
0,2019-10-26,"",2,
0,2019-10-26,1174,12.75,12
0,2019-10-26,16675,8,3
0,2019-10-26,18001,8.4,15
0,2019-10-26,24941,5.1,27
0,2019-10-26,25445,3,
0,2019-10-26,26806,7.7,10
0,2019-10-26,3102021,3,
0,2019-10-26,31044,9.7,15
0,2019-10-26,32616,23.7,18
0,2019-10-27,1174,18.7,24
0,2019-10-27,24941,13.25,15
0,2019-10-27,310,3,
0,2019-10-27,3102021,5.7,
0,2019-10-27,31044,11.25,12
0,2019-10-27,32616,26.55,27
0,2019-10-28,1174,33.1,26
0,2019-10-28,13125,3.5,
0,2019-10-28,18001,13.95,15
0,2019-10-28,24941,30.14,21
0,2019-10-28,26806,5.4,14
0,2019-10-28,31044,3.5,9
0,2019-10-28,32616,9.15,12
0,2019-10-29,1174,18.8,8
0,2019-10-29,13125,8,
0,2019-10-29,16675,15.75,3
0,2019-10-29,18001,5.9,6
0,2019-10-29,24941,13.1,9
0,2019-10-29,26806,7.8,4
0,2019-10-29,31044,6.1,9
0,2019-10-30,1174,9.8,12
0,2019-10-30,18001,1.9,6
0,2019-10-30,24941,19.6,18
0,2019-10-30,26806,3,6
0,2019-10-30,310,9,
0,2019-10-30,3102021,10,
0,2019-10-30,31044,3,6
0,2019-10-31,16675,63,31.5
0,2019-10-31,18001,11.15,6
0,2019-10-31,24941,3.6,12
0,2019-10-31,26806,7,8
0,2019-10-31,31044,12.85,21
0,2019-11-01,16675,4.25,3.5
0,2019-11-01,18001,7.3,21
0,2019-11-01,24941,16.35,18
0,2019-11-01,26806,7,6
0,2019-11-01,31044,15,9
0,2019-11-02,1174,2,
0,2019-11-02,18001,7.25,12
0,2019-11-02,24941,12.8,21
0,2019-11-02,26806,7.5,8
0,2019-11-02,310,3.61,
0,2019-11-02,31044,14.75,21
0,2019-11-03,1174,8.05,8
0,2019-11-03,16675,36.15,21
0,2019-11-03,18001,16.5,18
0,2019-11-03,24941,25.45,15
0,2019-11-03,25445,2.5,
0,2019-11-03,26806,4.25,8
0,2019-11-03,310,3,
0,2019-11-03,3102021,5.6,
0,2019-11-03,31044,11.8,21
0,2019-11-04,1174,1.9,4
0,2019-11-04,13125,4.25,9
0,2019-11-04,16675,6.25,
0,2019-11-04,16701,73.6,80.5
0,2019-11-04,18001,17.85,15
0,2019-11-04,24941,14.2,3
0,2019-11-04,25445,3,
0,2019-11-04,28222,1.7,
0,2019-11-04,28942,3.5,6
0,2019-11-04,29788,7.1,6
0,2019-11-04,31044,18.15,6
0,2019-11-04,32616,1.9,6
0,2019-11-04,33055,3,
0,2019-11-05,1174,4.7,2
0,2019-11-05,13125,2,
0,2019-11-05,16675,37.15,35
0,2019-11-05,16701,52.4,94.5
0,2019-11-05,18001,11.9,6
0,2019-11-05,24941,14.75,18
0,2019-11-05,26806,4.9,8
0,2019-11-05,29592,3.5,
0,2019-11-05,29788,12.95,3
0,2019-11-05,29790,16.4,3
0,2019-11-05,30697,13,9
0,2019-11-05,31044,13.5,9
0,2019-11-05,32616,4.7,12
0,2019-11-06,12915,7.75,
0,2019-11-06,16675,3,
0,2019-11-06,16701,61.95,76.5
0,2019-11-06,18001,3.4,12
0,2019-11-06,22974,4.25,
0,2019-11-06,24941,15.25,3
0,2019-11-06,26806,1.9,8
0,2019-11-06,29365,3,
0,2019-11-06,29790,7.25,3
0,2019-11-06,30697,44.85,36
0,2019-11-06,31044,17.25,21
0,2019-11-07,13125,56.35,42
0,2019-11-07,16675,4.25,3.5
0,2019-11-07,16701,83.2,108
0,2019-11-07,18001,12.4,9
0,2019-11-07,19287,6.5,3
0,2019-11-07,24941,3.6,6
0,2019-11-07,26806,4,6
0,2019-11-07,28430,4,3
0,2019-11-07,28942,7,
0,2019-11-07,29365,6.1,
0,2019-11-07,3102021,3,2
0,2019-11-07,31044,10.25,3
0,2019-11-07,32239,3,
0,2019-11-08,1174,3,
0,2019-11-08,13125,147.9,111
0,2019-11-08,16701,3,
0,2019-11-08,18001,5.6,3
0,2019-11-08,24941,10.15,12
0,2019-11-08,28942,24.15,21
0,2019-11-08,310,7,
0,2019-11-08,3102021,1.7,
0,2019-11-08,31044,9,18
0,2019-11-09,1174,3.5,2
0,2019-11-09,13125,111.6,69
0,2019-11-09,18001,14,9
0,2019-11-09,19287,16.65,
0,2019-11-09,24941,4,9
0,2019-11-09,25445,1.7,
0,2019-11-09,27966,9.9,3
0,2019-11-09,28942,7.25,3
0,2019-11-09,29592,3,
0,2019-11-09,31044,18.2,12
0,2019-11-09,31362,3,
0,2019-11-10,1174,7.25,6
0,2019-11-10,13125,100.2,93
0,2019-11-10,16675,3,3.5
0,2019-11-10,17217,10.75,6
0,2019-11-10,18001,7,9
0,2019-11-10,19287,4.25,3
0,2019-11-10,24941,3,9
0,2019-11-10,28572,4.25,
0,2019-11-10,310,6,
0,2019-11-10,31044,8,12
0,2019-11-11,12669,1.7,
0,2019-11-11,13125,208.05,138
0,2019-11-11,17217,20.15,9
0,2019-11-11,19287,2,
0,2019-11-11,24941,6.7,15
0,2019-11-11,29365,3,3
0,2019-11-11,310,1.7,
0,2019-11-11,31044,11,12
0,2019-11-11,33055,5,
0,2019-11-12,13125,202.1,204
0,2019-11-12,17949,4.25,
0,2019-11-12,18001,7,12
0,2019-11-12,24941,7.7,
0,2019-11-12,3102021,4.25,
0,2019-11-12,31044,4,12
0,2019-11-12,33055,4.25,
0,2019-11-13,13125,265.55,258
0,2019-11-13,18001,5.4,9
0,2019-11-13,28942,10.25,
0,2019-11-13,310,4,
0,2019-11-13,31044,12,6
0,2019-11-14,13125,236.1,228
0,2019-11-14,16675,7.5,
0,2019-11-14,18001,9,6
0,2019-11-14,28942,74.85,48
0,2019-11-14,310,3.9,
0,2019-11-14,3102021,3,4
0,2019-11-14,31044,6,12
0,2019-11-14,32239,4,
0,2019-11-15,13125,237.65,141
0,2019-11-15,16675,3,3.5
0,2019-11-15,28942,27.35,39
0,2019-11-15,29365,1.9,
0,2019-11-15,29592,3,
0,2019-11-15,30697,97.85,72
0,2019-11-15,310,12.9,
0,2019-11-15,31044,4.7,9
0,2019-11-16,10024,7.95,9
0,2019-11-16,13125,398.4,306
0,2019-11-16,16675,31.45,17.5
0,2019-11-16,17949,0,
0,2019-11-16,19287,7.25,
0,2019-11-16,28942,7.85,9
0,2019-11-16,30697,98.9,114
0,2019-11-16,31044,2,9
0,2019-11-16,33055,1.9,3
0,2019-11-17,"",6.25,
0,2019-11-17,13125,300.1,210
0,2019-11-17,16675,13.65,
0,2019-11-17,19287,3.5,
0,2019-11-17,22974,5,3
0,2019-11-17,23657,3,
0,2019-11-17,28430,3,3
0,2019-11-17,28942,66,60
0,2019-11-17,30697,110.65,93
0,2019-11-17,310,10.25,
0,2019-11-17,31044,2,12
0,2019-11-17,31351,3.9,
